Expertise,AvgCourseRating,StdCourseRating,AvgTeacherRating,NumTeachingPairs,NumDistinctTeachers
Marketing,3.338888888888889,1.0577859476808675,4.29,9,1
Digital Marketing,3.3328662420382167,1.1389502876048394,2.9311464968152867,157,11
Design,3.1613725490196076,1.165502500396877,2.0698039215686275,51,4
Data Science,3.1314102564102564,1.0921546966670435,2.968717948717949,78,5
Finance,3.1261538461538465,1.1620458675502436,3.1967032967032964,91,6
Artificial Intelligence,3.119315068493151,1.1766635136491317,3.0471232876712326,73,6
Cybersecurity,3.0754304635761587,1.2121351602849895,3.717682119205298,151,9
Business,3.0502857142857143,1.1440292204060425,2.346571428571429,35,2
Web Development,3.0230555555555556,1.243793197439538,2.3908333333333336,72,5
Project Management,2.9864615384615387,1.3871265609719419,2.5213846153846156,65,5
Machine Learning,2.945670103092784,1.178327652523283,4.5255670103092775,97,5
Programming,2.8475,1.1559133679846922,3.95,8,1
